[2025-08-13 19:16:58,824] 15 root - INFO - Initiate the data ingestion
[2025-08-13 19:17:01,361] 63 root - INFO - Performed train test split on the dataframe
[2025-08-13 19:17:01,361] 65 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[2025-08-13 19:17:01,362] 71 root - INFO - Exporting train and test file path.
[2025-08-13 19:17:01,507] 79 root - INFO - Exported train and test file path.
[2025-08-13 19:17:01,509] 17 root - INFO - Data Initiated completed
[2025-08-13 19:17:01,532] 21 root - INFO - initiate the data validation
[2025-08-13 19:17:01,655] 31 root - INFO - Required number of columns:2
[2025-08-13 19:17:01,656] 32 root - INFO -  Dataframe has columns:31
[2025-08-13 19:17:01,656] 31 root - INFO - Required number of columns:2
[2025-08-13 19:17:01,656] 32 root - INFO -  Dataframe has columns:31
[2025-08-13 19:17:01,982] 23 root - INFO -  data validation completed
[2025-08-13 19:17:01,983] 26 root - INFO -  data Transformation Started
[2025-08-13 19:17:01,983] 46 root - INFO - Entered initiate_data_transformation method of Datatransformation class
[2025-08-13 19:17:01,983] 48 root - INFO - Starting data transformation
[2025-08-13 19:17:02,033] 30 root - INFO - Entered get_data_transformer_object method of transformation class
[2025-08-13 19:17:02,034] 35 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-13 19:17:02,062] 42 root - INFO - Entered the save_object method of Mainutils class
[2025-08-13 19:17:02,069] 46 root - INFO - Exited the save_object method of Mainutils class
[2025-08-13 19:17:02,072] 30 root - INFO -  data Transformation completed
