[2025-08-20 21:36:22,960] 17 root - INFO - Initiate the data ingestion
[2025-08-20 21:36:26,179] 63 root - INFO - Performed train test split on the dataframe
[2025-08-20 21:36:26,179] 65 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[2025-08-20 21:36:26,181] 71 root - INFO - Exporting train and test file path.
[2025-08-20 21:36:26,773] 79 root - INFO - Exported train and test file path.
[2025-08-20 21:36:26,779] 19 root - INFO - Data Initiated completed
[2025-08-20 21:36:26,941] 23 root - INFO - initiate the data validation
[2025-08-20 21:36:27,354] 31 root - INFO - Required number of columns:2
[2025-08-20 21:36:27,368] 32 root - INFO -  Dataframe has columns:31
[2025-08-20 21:36:27,368] 31 root - INFO - Required number of columns:2
[2025-08-20 21:36:27,369] 32 root - INFO -  Dataframe has columns:31
[2025-08-20 21:36:28,753] 25 root - INFO -  data validation completed
[2025-08-20 21:36:28,777] 28 root - INFO -  data Transformation Started
[2025-08-20 21:36:28,777] 46 root - INFO - Entered initiate_data_transformation method of Datatransformation class
[2025-08-20 21:36:28,777] 48 root - INFO - Starting data transformation
[2025-08-20 21:36:29,057] 30 root - INFO - Entered get_data_transformer_object method of transformation class
[2025-08-20 21:36:29,057] 35 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-20 21:36:29,140] 44 root - INFO - Entered the save_object method of Mainutils class
[2025-08-20 21:36:29,149] 48 root - INFO - Exited the save_object method of Mainutils class
[2025-08-20 21:36:29,161] 32 root - INFO -  data Transformation completed
[2025-08-20 21:36:29,161] 34 root - INFO - Model Training started
[2025-08-20 21:50:18,415] 44 root - INFO - Entered the save_object method of Mainutils class
[2025-08-20 21:50:18,416] 48 root - INFO - Exited the save_object method of Mainutils class
[2025-08-20 21:50:18,416] 44 root - INFO - Entered the save_object method of Mainutils class
[2025-08-20 21:50:18,523] 48 root - INFO - Exited the save_object method of Mainutils class
[2025-08-20 21:50:18,524] 116 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_20_2025_21_35_13\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917691291535413, precision_score=0.9904607266084838, recall_score=0.9930809930809931), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9727782225780625, precision_score=0.9681274900398407, recall_score=0.9774738535800482))
[2025-08-20 21:50:18,531] 39 root - INFO - mODEL TRAINING ARTIFACT CREATED
